Theta1,Theta2,Theta3,x0,y0,z0
-40,-40,-40,0,0,-630.0679332
-40,-40,-36,7.955190136,13.7787935,-634.0537544
-40,-40,-32,16.35814309,28.33313495,-637.9375554
-40,-40,-28,25.19759957,43.64352268,-641.665908
-40,-40,-24,34.46397391,59.69335385,-645.1859887
-40,-40,-20,44.14885627,76.46806216,-648.4451601
-40,-40,-16,54.24458124,93.95437074,-651.3906329
-40,-40,-12,64.74384777,112.1396338,-653.9691982
-40,-40,-8,75.63937925,131.0112479,-656.1270273
-40,-40,-4,86.92361556,150.5561185,-657.8095312
-40,-40,0,98.58843134,170.7601721,-658.961279
-40,-40,4,110.6248763,191.6079063,-659.5259714
-40,-40,8,123.0229349,213.0819738,-659.446467
-40,-40,12,135.7713046,235.1627978,-658.6648606
-40,-40,16,148.8571903,257.8282166,-657.1226113
-40,-40,20,162.2661172,281.0531593,-654.7607185
-40,-40,24,175.9817611,304.8093514,-651.5199433
-40,-40,28,189.9857977,329.0650543,-647.3410747
-40,-40,32,204.2577716,353.7848382,-642.1652349
-40,-40,36,218.774987,378.9293929,-635.9342221
-40,-40,40,233.5124212,404.4553777,-628.5908871
-40,-40,44,248.4426615,430.3153124,-620.0795366
-40,-40,48,263.5358677,456.4575125,-610.3463611
-40,-40,52,278.7597609,482.8260689,-599.3398798
-40,-40,56,294.0796377,509.360874,-587.0113964
-40,-40,60,309.4584133,535.9976947,-573.3154607
-40,-40,64,324.8566898,562.668292,-558.2103284
-40,-40,68,340.2328522,589.3005864,-541.6584114
-40,-40,72,355.5431893,615.8188682,-523.6267144
-40,-40,76,370.74204,642.1440498,-504.0872485
-40,-40,80,385.7819615,668.193958,-483.0174158
-40,-36,-40,7.955190136,-13.7787935,-634.0537544
-40,-36,-36,16.23969473,0,-638.3270117
-40,-36,-32,24.97610237,14.54810025,-642.4998833
-40,-36,-28,34.15275638,29.84865785,-646.5185431
-40,-36,-24,43.75955383,45.88742194,-650.3296943
-40,-36,-20,53.78745419,62.65193164,-653.8801565
-40,-36,-16,64.228052,80.13081115,-657.1165325
-40,-36,-12,75.0731989,98.31314476,-659.9849465
-40,-36,-8,86.31466491,117.1879145,-662.4308483
-40,-36,-4,97.94383106,136.743488,-664.3988784
-40,-36,0,109.9514082,156.9671464,-665.8327912
-40,-36,4,122.3271779,177.8446486,-666.6754337
-40,-36,8,135.0597537,199.359825,-666.8687767
-40,-36,12,148.1363607,221.4942008,-666.3539989
-40,-36,16,161.5426335,244.2266474,-665.0716199
-40,-36,20,175.2624326,267.5330623,-662.9616808
-40,-36,24,189.2776795,291.3860783,-659.9639716
-40,-36,28,203.5682122,315.7548048,-656.0183007
-40,-36,32,218.1116614,340.6046025,-651.0648055
-40,-36,36,232.8833499,365.896894,-645.0442982
-40,-36,40,247.856215,391.5890135,-637.8986452
-40,-36,44,263.0007561,417.6340962,-629.5711731
-40,-36,48,278.2850087,443.9810114,-620.0070973
-40,-36,52,293.6745443,470.574339,-609.153967
-40,-36,56,309.132498,497.3543922,-596.9621202
-40,-36,60,324.6196235,524.2572856,-583.3851427
-40,-36,64,340.0943745,551.2150488,-568.3803237
-40,-36,68,355.513013,578.1557861,-551.9091015
-40,-36,72,370.8297421,605.0038784,-533.9374923
-40,-36,76,385.9968638,631.6802272,-514.4364945
-40,-36,80,400.9649568,658.1025374,-493.3824623
-40,-32,-40,16.35814309,-28.33313495,-637.9375554
-40,-32,-36,24.97610237,-14.54810025,-642.4998833
-40,-32,-32,34.04863918,0,-646.9621762
-40,-32,-28,43.56368996,15.29690389,-651.2703184
-40,-32,-24,53.51061975,31.33066646,-655.3706493
-40,-32,-20,63.8797391,48.09090283,-659.2095565
-40,-32,-16,74.66188212,65.56812422,-662.7331494
-40,-32,-12,85.84803236,83.75314565,-665.8870023
-40,-32,-8,97.42898666,102.6365496,-668.615964
-40,-32,-4,109.3950499,122.2081945,-670.8640274
-40,-32,0,121.7357557,142.4567598,-672.5742568
-40,-32,4,134.4396095,163.3693227,-673.6887712
-40,-32,8,147.493852,184.9309628,-674.1487792
-40,-32,12,160.8842417,207.1243929,-673.894666
-40,-32,16,174.5948569,229.9296169,-672.8661299
-40,-32,20,188.6079162,253.323613,-671.0023662
-40,-32,24,202.9036192,277.2800461,-668.2422958
-40,-32,28,217.4600081,301.7690099,-664.5248378
-40,-32,32,232.2528509,326.7568012,-659.7892202
-40,-32,36,247.2555489,352.205729,-653.9753273
-40,-32,40,262.4390674,378.0739608,-647.0240788
-40,-32,44,277.7718929,404.3154089,-638.8778352
-40,-32,48,293.2200164,430.8796573,-629.4808247
-40,-32,52,308.7469438,457.7119322,-618.7795866
-40,-32,56,324.3137334,484.7531172,-606.7234228
-40,-32,60,339.8790614,511.9398123,-593.2648531
-40,-32,64,355.3993131,539.2044387,-578.3600656
-40,-32,68,370.8287008,566.4753868,-561.9693567
-40,-32,72,386.1194058,593.6772074,-544.0575522
-40,-32,76,401.2217434,620.7308422,-524.5944028
-40,-32,80,416.0843479,647.5538932,-503.5549473
-40,-28,-40,25.19759957,-43.64352268,-641.665908
-40,-28,-36,34.15275638,-29.84865785,-646.5185431
-40,-28,-32,43.56368996,-15.29690389,-651.2703184
-40,-28,-28,53.41791982,0,-655.8669474
-40,-28,-24,63.70426621,16.03236915,-660.2545252
-40,-28,-20,74.41237655,32.79186642,-664.3791305
-40,-28,-16,85.53231051,50.27087796,-668.1865041
-40,-28,-12,97.05417098,68.46195295,-671.6217991
-40,-28,-8,108.9677721,87.35729293,-674.6293938
-40,-28,-4,121.2623371,106.948281,-677.1527666
-40,-28,0,133.9262227,127.2250435,-679.1344261
-40,-28,4,146.9466647,148.17604,-680.5158966
-40,-28,8,160.3095452,169.7876782,-681.2377559
-40,-28,12,173.9991787,192.0439524,-681.2397236
-40,-28,16,187.9981185,214.9261069,-680.4607977
-40,-28,20,202.2869814,238.4123228,-678.8394395
-40,-28,24,216.8442946,262.477432,-676.3138014
-40,-28,28,231.6463623,287.0926586,-672.8219982
-40,-28,32,246.6671562,312.2253913,-668.3024164
-40,-28,36,261.8782288,337.838989,-662.6940592
-40,-28,40,277.2486525,363.8926216,-655.9369226
-40,-28,44,292.7449835,390.341149,-647.9723972
-40,-28,48,308.3312535,417.1350396,-638.7436922
-40,-28,52,323.9689871,444.2203313,-628.1962728
-40,-28,56,339.6172479,471.5386341,-616.2783083
-40,-28,60,355.2327107,499.0271778,-602.9411214
-40,-28,64,370.7697598,526.6189019,-588.1396332
-40,-28,68,386.1806135,554.2425887,-571.8327965
-40,-28,72,401.4154717,581.8230391,-553.9840096
-40,-28,76,416.4226851,609.2812859,-534.5615039
-40,-28,80,431.1489435,636.5348453,-513.538697
-40,-24,-40,34.46397391,-59.69335385,-645.1859887
-40,-24,-36,43.75955383,-45.88742194,-650.3296943
-40,-24,-32,53.51061975,-31.33066646,-655.3706493
-40,-24,-28,63.70426621,-16.03236915,-660.2545252
-40,-24,-24,74.32875995,0,-664.9273048
-40,-24,-20,85.37307741,16.76012395,-669.3348911
-40,-24,-16,96.82649794,34.24225318,-673.4227937
-40,-24,-12,108.6782414,52.44067673,-677.1358835
-40,-24,-8,120.9171415,71.34923707,-680.4182107
-40,-24,-4,133.5313483,90.96087991,-683.2128819
-40,-24,0,146.508056,111.2672326,-685.461993
-40,-24,4,159.8332539,132.2582069,-687.1066155
-40,-24,8,173.4914962,153.9216246,-688.0868341
-40,-24,12,187.4656933,176.2428634,-688.3418345
-40,-24,16,201.736922,199.204525,-687.8100382
-40,-24,20,216.2842552,222.7861249,-686.4292841
-40,-24,24,231.0846131,246.9638066,-684.137054
-40,-24,28,246.1126354,271.7100816,-680.8707382
-40,-24,32,261.3405769,296.9935976,-676.5679414
-40,-24,36,276.7382266,322.7789383,-671.166821
-40,-24,40,292.2728513,349.0264559,-664.606458
-40,-24,44,307.9091661,375.6921403,-656.827253
-40,-24,48,323.6093302,402.7275254,-647.7713425
-40,-24,52,339.3329705,430.0796365,-637.3830312
-40,-24,56,355.0372317,457.6909773,-625.6092329
-40,-24,60,370.6768526,485.4995607,-612.3999135
-40,-24,64,386.2042688,513.4389801,-597.7085297
-40,-24,68,401.5697397,541.4385239,-581.4924551
-40,-24,72,416.7214979,569.4233294,-563.713388
-40,-24,76,431.6059198,597.3145765,-544.3377307
-40,-24,80,446.1677135,625.0297159,-523.336934
-40,-20,-40,44.14885627,-76.46806216,-648.4451601
-40,-20,-36,53.78745419,-62.65193164,-653.8801565
-40,-20,-32,63.8797391,-48.09090283,-659.2095565
-40,-20,-28,74.41237655,-32.79186642,-664.3791305
-40,-20,-24,85.37307741,-16.76012395,-669.3348911
-40,-20,-20,96.75014738,0,-674.0227116
-40,-20,-16,108.5320899,17.48461035,-678.3880187
-40,-20,-12,120.7072514,35.6897434,-682.375552
-40,-20,-8,133.2635007,54.61090704,-685.9291861
-40,-20,-4,146.1879375,74.24265104,-688.9918089
-40,-20,0,159.466625,94.57816219,-691.5052558
-40,-20,4,173.0843448,115.6088804,-693.4102943
-40,-20,8,187.024372,137.3241339,-694.6466602
-40,-20,12,201.2682703,159.7107932,-695.1531413
-40,-20,16,215.7957058,182.7529429,-694.867708
-40,-20,20,230.5842817,206.4315738,-693.727689
-40,-20,24,245.6093931,230.7242966,-691.6699899
-40,-20,28,260.8441028,255.6050781,-688.6313519
-40,-20,32,276.2590412,281.044004,-684.5486489
-40,-20,36,291.8223279,307.0070703,-679.3592176
-40,-20,40,307.4995199,333.4560051,-673.0012191
-40,-20,44,323.2535833,360.3481241,-665.4140261
-40,-20,48,339.0448932,387.636222,-656.5386305
-40,-20,52,354.8312576,415.2685015,-646.3180668
-40,-20,56,370.5679701,443.1885416,-634.6978452
-40,-20,60,386.2078865,471.3353059,-621.6263867
-40,-20,64,401.7015278,499.6431916,-607.0554547
-40,-20,68,416.9972059,528.0421196,-590.9405751
-40,-20,72,432.0411721,556.4576633,-573.2414362
-40,-20,76,446.7777846,584.8112159,-553.9222625
-40,-20,80,461.1496914,613.0201929,-532.9521502
-40,-16,-40,54.24458124,-93.95437074,-651.3906329
-40,-16,-36,64.228052,-80.13081115,-657.1165325
-40,-16,-32,74.66188212,-65.56812422,-662.7331494
-40,-16,-28,85.53231051,-50.27087796,-668.1865041
-40,-16,-24,96.82649794,-34.24225318,-673.4227937
-40,-16,-20,108.5320899,-17.48461035,-678.3880187
-40,-16,-16,120.6368302,0,-683.0276826
-40,-16,-12,133.1282145,18.20936971,-687.286556
